short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
20,50,EMA,EMA,1.5,2.5,-99.3287127150983,-2.4320531373050054,51.18017309205351,99.36669882441794,5085,2197,2888,50.57,51.66,-496.65,EMA20/EMA50,EMA/EMA
20,50,SMA,SMA,2.5,2.0,-99.3353829240755,-2.129783976549007,39.780658025922236,99.3600197026893,5015,2115,2900,40.28,39.41,-496.68,SMA20/SMA50,SMA/SMA
21,50,EMA,EMA,2.0,2.5,-99.33600178747109,-2.1935457585928155,45.30464508345064,99.38127219190132,4974,2166,2808,45.43,45.23,-496.68,EMA21/EMA50,EMA/EMA
20,50,SMA,EMA,1.5,2.0,-99.34579996467777,-2.6792328411317943,50.04271678769756,99.37783583969046,4682,2095,2587,49.88,50.17,-496.73,SMA20/EMA50,SMA/EMA
20,50,SMA,SMA,1.5,2.0,-99.34684304281112,-2.5275538638111748,50.11942675159236,99.41611583459866,5024,2121,2903,49.88,50.29,-496.73,SMA20/SMA50,SMA/SMA
21,50,SMA,SMA,2.5,3.0,-99.35539191235688,-1.9948405487761294,42.64943457189014,99.37265159607892,4952,2115,2837,43.03,42.37,-496.78,SMA21/SMA50,SMA/SMA
21,50,EMA,SMA,3.0,2.0,-99.35642513654021,-1.9207508038528749,36.135721017907635,99.39493487811374,5306,2278,3028,35.25,36.82,-496.78,EMA21/SMA50,EMA/SMA
9,50,SMA,SMA,2.5,2.5,-99.36043055314525,-1.95394439199521,38.70346598202824,99.60221876011684,6233,2674,3559,37.96,39.28,-496.8,SMA9/SMA50,SMA/SMA
9,200,EMA,EMA,2.0,1.5,-99.38439561057457,-2.8272846630402135,38.66866118175019,99.41859863195654,4012,1808,2204,38.27,39.02,-496.91999999999996,EMA9/EMA200,EMA/EMA
20,50,SMA,SMA,3.0,1.5,-99.38700084699029,-2.200282741441003,33.33998403830806,99.4510806384145,5012,2113,2899,34.17,32.74,-496.92999999999995,SMA20/SMA50,SMA/SMA
20,50,EMA,EMA,2.5,2.5,-99.38991382664206,-2.0574861918242373,40.03569303985723,99.4238888014979,5044,2173,2871,40.08,40.02,-496.95000000000005,EMA20/EMA50,EMA/EMA
21,50,EMA,EMA,3.0,2.0,-99.39508036851115,-2.0289305001628475,35.2092645266152,99.47651097556289,4923,2151,2772,35.24,35.21,-496.97,EMA21/EMA50,EMA/EMA
20,50,EMA,SMA,3.0,2.0,-99.40710052212233,-1.9422501709071769,35.943925233644855,99.45948226518362,5351,2296,3055,35.06,36.63,-497.03999999999996,EMA20/SMA50,EMA/SMA
9,50,SMA,SMA,3.0,1.5,-99.42254150255506,-2.045630888485583,32.54701944532993,99.54558811993341,6275,2696,3579,31.71,33.19,-497.11,SMA9/SMA50,SMA/SMA
9,200,EMA,EMA,3.0,1.5,-99.43165141402764,-2.4417389593572447,30.55276381909548,99.48481512922358,3981,1793,2188,30.23,30.85,-497.15999999999997,EMA9/EMA200,EMA/EMA
21,50,EMA,SMA,2.5,1.5,-99.43474077836457,-2.277101061765076,36.41304347826087,99.57797645887284,5337,2293,3044,35.5,37.12,-497.16999999999996,EMA21/SMA50,EMA/SMA
9,200,EMA,EMA,1.5,1.5,-99.43803264136677,-3.209793821708963,43.60248447204969,99.46778063985549,4025,1813,2212,43.24,43.9,-497.19,EMA9/EMA200,EMA/EMA
9,200,EMA,EMA,2.5,1.5,-99.43862817394356,-2.6518462071613786,34.21710855427714,99.47581238489971,3999,1801,2198,34.2,34.26,-497.19000000000005,EMA9/EMA200,EMA/EMA
9,50,SMA,SMA,2.0,2.0,-99.44300075170885,-2.2460970088625487,42.03476319566257,99.49938438002731,6272,2697,3575,41.27,42.63,-497.22,SMA9/SMA50,SMA/SMA
