short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
21,200,SMA,SMA,3.0,2.0,0.9827227981276792,0.5577710470642754,44.73684210526316,6.3986656361428915,38,13,25,38.46,48.0,4.91,SMA21/SMA200,SMA/SMA
9,50,EMA,SMA,3.0,2.5,0.9699411091996922,0.4862855428595297,38.01652892561984,15.67070893985588,121,61,60,34.43,41.67,4.850000000000001,EMA9/SMA50,EMA/SMA
50,200,EMA,SMA,1.5,1.5,0.8791658724728335,0.8350987152556184,60.71428571428571,3.0182904733840217,28,10,18,40.0,72.22,4.390000000000001,EMA50/SMA200,EMA/SMA
50,200,SMA,EMA,1.5,1.5,0.850390075162261,0.7390596416391805,51.724137931034484,5.886670092067247,29,12,17,58.33,47.06,4.25,SMA50/EMA200,SMA/EMA
21,26,EMA,EMA,2.0,2.5,0.790004481506469,0.44094351237500107,47.524752475247524,12.704535342985517,101,52,49,46.15,48.98,3.9499999999999993,EMA21/EMA26,EMA/EMA
9,200,EMA,EMA,3.0,3.0,0.7704204281649822,0.44694619830306204,40.74074074074074,15.090075092473896,81,34,47,41.18,40.43,3.8500000000000005,EMA9/EMA200,EMA/EMA
20,200,EMA,EMA,3.0,2.5,0.7661961246047895,0.44396882178991603,46.2962962962963,6.557529197493564,54,22,32,50.0,43.75,3.829999999999999,EMA20/EMA200,EMA/EMA
20,26,EMA,EMA,2.5,2.5,0.6452782901312162,0.3913427891330028,45.54455445544555,14.289738822287005,101,50,51,44.0,47.06,3.2300000000000004,EMA20/EMA26,EMA/EMA
12,26,EMA,EMA,3.0,1.5,0.608301777909196,0.3803495198623651,34.78260869565217,16.563356362161503,115,56,59,28.57,40.68,3.0400000000000063,EMA12/EMA26,EMA/EMA
21,200,SMA,SMA,1.5,2.0,0.581143947108535,0.4225224727095596,57.89473684210527,4.793069549850138,38,13,25,46.15,64.0,2.9000000000000004,SMA21/SMA200,SMA/SMA
